index,f1_Network_Node_Connection,f2_Travel_Time,f3_Concurrence_Served
0,1542,45917,75509
1,548,25611,42419
2,1722,47268,69206
3,547,25622,42424
4,1722,47268,69206
5,833,27821,41225
6,581,25701,41950
7,604,26217,45456
8,958,29628,49321
9,1343,36024,58577
10,553,25773,42218
11,740,27117,43081
12,595,25948,45144
13,655,26418,43784
14,698,26649,45870
15,599,26058,44755
16,942,29448,52045
17,1437,41697,71492
18,1505,44381,73849
19,1563,45401,74545
20,1722,47171,68150
21,804,28479,53182
22,1483,39800,65280
23,1572,41808,67946
24,1089,32314,56494
25,649,26278,43797
26,1683,45816,69757
27,861,28512,48736
28,1182,33634,58097
29,871,28898,49938
30,687,26570,43308
31,755,27261,44387
32,628,26371,44315
33,1579,43536,71577
34,1714,46330,69013
35,887,28693,49035
36,1093,32140,56391
37,1624,42937,68844
38,1448,42905,72448
39,1568,45237,73767
40,1638,44923,72246
41,811,28398,51418
42,891,28650,44948
43,1075,32015,60713
44,1629,42768,68473
45,674,26411,42803
46,1508,43969,73578
47,1036,30877,55138
48,1143,32969,58689
49,1487,43803,74199
50,1496,39986,66568
51,1023,30555,48372
52,1457,39005,61524
53,1067,31753,53993
54,1451,42550,71212
55,916,30298,57047
56,1270,35810,63731
57,1720,46945,69319
58,1120,33272,59725
59,1250,39667,70578
60,915,29363,52857
61,1388,40131,69557
62,1136,36389,67759
63,719,28061,52307
64,630,26951,48905
65,937,30149,55305
66,1360,36172,60042
67,848,28763,52186
68,988,29782,48137
69,777,27802,50541
70,1010,31078,56042
71,780,28058,51337
72,1656,45175,72074
73,697,26888,46970
74,1706,46665,72094
75,1609,42738,61940
76,1535,43210,71719
77,1535,40751,66267
78,906,29026,51749
79,714,26983,46250
80,1246,34569,56938
81,999,30921,58519
82,1189,35762,65472
83,1431,42420,73071
84,1645,43644,70950
85,1193,33706,57694
86,1160,32479,52571
87,1697,45058,67269
88,876,28664,48260
89,1247,36116,65817
90,875,28980,50937
91,1465,39341,67046
92,765,27799,50134
93,1542,45917,75509
94,887,29901,56631
95,1367,41261,71624
96,713,28584,55096
97,683,26829,48000
98,1150,34819,63212
99,791,27534,46868
100,770,27579,49464
101,1162,32760,54494
102,1370,37131,64220
103,1391,40266,69887
104,1297,36327,63447
105,1160,33542,62940
106,1014,31659,58754
107,1631,43288,64861
108,928,29248,51767
109,640,27229,49735
110,703,27435,50017
111,1187,33945,61392
112,609,26232,44631
113,1338,35351,55936
114,1393,41483,70440
115,1522,45678,75204
116,1001,31003,59518
117,1659,45905,73445
118,1703,46317,72042
119,1661,46113,72267
120,899,29996,55571
121,595,26495,46520
122,1145,35540,66321
123,842,28565,52407
124,1529,45509,74833
125,1720,46945,69319
126,1560,45724,75007
127,668,27053,48434
128,843,28732,52917
129,1502,42036,70249
130,1588,43565,71161
131,1058,31398,56751
132,1363,37261,65181
133,1081,31503,53572
134,975,30023,50880
135,1614,42748,69262
136,1645,43644,70950
137,1445,39238,64980
138,1110,32204,52503
139,1441,38837,61894
140,1411,38654,63640
141,1704,46143,71939
142,1520,44582,74602
143,1501,43692,74059
144,1224,33762,53507
145,1712,46007,69126
146,1063,31341,53722
147,640,27229,49735
148,1304,38436,68035
149,1479,39713,66811
150,1236,34413,57962
151,1423,38183,61796
152,1334,37073,65906
153,1252,35229,63070
154,1520,40365,62842
155,962,30088,54642
156,1671,44676,70402
157,993,30358,48386
158,1588,43396,70659
159,1708,46567,71900
160,1154,34993,63315
161,1002,30525,51459
162,1676,45088,70673
163,668,27053,48434
164,1164,32842,55493
165,1327,36617,63984
166,1383,37812,66134
167,1463,39084,62124
168,1531,40577,66164
169,1490,44445,74734
170,1435,42257,72098
171,1218,35775,66923
172,1046,31189,54198
173,1265,40467,70633
174,897,29999,55752
175,970,29556,47247
176,1201,33870,61126
177,925,30089,55947
178,1453,41166,70090
179,1322,37740,66742
180,1486,40627,68605
181,1470,39206,62511
182,1555,43091,69883
183,1692,44825,66244
184,1177,33112,54343
185,1310,36873,64177
186,1566,41003,63786
187,1046,31189,54198
188,1507,40972,68489
189,1475,39302,60231
190,1392,37336,60178
191,1698,45800,67333
192,806,27582,41526
193,761,27126,41593
194,830,28263,49359
195,1177,33112,54343
196,1544,43902,72860
197,1417,37761,60573
198,1376,37449,62361
199,978,30148,51171
200,583,25799,42129
201,729,27984,52109
202,1148,32582,53675
203,1372,38058,66518
204,1284,38735,70223
205,908,29302,53154
206,1228,35021,62253
207,1397,38819,66797
208,1241,35637,64125
209,829,27746,41249
210,1052,31568,57666
211,1174,33414,57588
212,621,25938,44542
213,1111,31867,50042
214,728,27647,50610
215,1272,35119,59035
216,1012,31200,56104
217,790,28246,51894
218,1055,31910,57609
219,828,27723,41243
220,1550,42134,70578
221,1439,38504,62590
222,1287,35507,63295
223,1494,43103,72691
224,625,26325,44631
225,1012,30411,47252
226,1265,35407,64007
227,856,29291,54871
228,1063,31741,57339
229,1203,33828,60916
230,1409,42241,72987
231,1121,32629,57065
232,989,29946,48115
233,1600,42189,64599
234,1465,39341,67046
235,1210,35126,63836
236,1229,34152,59920
237,808,27937,47545
238,1257,35206,59211
239,1511,43795,73475
240,1307,38602,68645
241,1402,37556,59340
242,866,28194,47836
243,1404,38145,63949
244,1495,40160,66671
245,820,29078,55807
246,583,25799,42129
247,1171,33417,57769
248,1516,41460,68676
249,866,28194,47836
250,1406,38064,63394
251,1597,42363,64702
252,1276,36976,66896
253,1101,32405,59454
254,1300,36090,61716
255,1317,38381,67580
256,1032,30807,53962
257,1496,41904,70396
258,1375,37623,62464
259,1324,38366,66718
260,1187,34258,62669
261,1401,38239,64353
262,1493,43277,72794
263,1274,34792,58952
264,1331,36429,61268
265,1126,32839,58346
266,1233,34062,58002
267,1499,40130,63996
268,910,29205,46827
269,984,30650,55367
270,856,29291,54871
271,1460,40721,69237
272,733,26946,42906
273,1554,45721,75221
274,618,25915,44429
275,774,27326,46057
276,851,28593,51440
277,687,27157,47203
278,1281,39147,70494
279,808,27937,47545
280,911,29094,46687
281,1447,41187,70217
282,978,31477,60297
283,676,27378,50738
284,1428,42594,73174
285,1280,35277,59394
286,1106,32485,57912
287,985,30411,51192
288,702,27179,46415
289,1593,41951,64431
290,1257,35206,59211
291,1329,36660,63803
292,1126,32839,58346
293,1412,37958,62180
294,1101,32405,59454
295,1208,34038,56203
296,1441,39038,66018
297,1420,37960,60407
298,687,26570,43308
299,1093,31695,49450
